,Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,Month,Dep_Time_day,Duration_in_minutes,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Arrival_Time_day
1,Air India,Kolkata,Banglore,CCU → IXR → BBI → BLR,2,No info,7662,5,1,445,5,50,13,15,20
2,Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,2,No info,13882,6,9,1140,9,25,4,25,10
3,IndiGo,Kolkata,Banglore,CCU → NAG → BLR,1,No info,6218,5,12,325,18,5,23,30,20
4,IndiGo,Banglore,New Delhi,BLR → NAG → DEL,1,No info,13302,3,1,285,16,50,21,35,20
6,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,3,12,930,18,55,10,25,13
8,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,In-flight meal not included,11087,3,12,1530,8,55,10,25,13
10,Air India,Delhi,Cochin,DEL → BLR → COK,1,No info,8907,6,1,795,9,45,23,0,20
11,IndiGo,Kolkata,Banglore,CCU → BLR,0,No info,4174,4,18,155,20,20,22,55,20
13,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,9663,5,9,730,21,10,9,20,10
15,Air India,Delhi,Cochin,DEL → AMD → BOM → COK,2,No info,14011,3,3,1595,16,40,19,15,4
16,SpiceJet,Delhi,Cochin,DEL → PNQ → COK,1,No info,5830,4,15,270,8,45,13,15,20
17,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,10262,6,12,1355,14,0,12,35,13
18,Air India,Delhi,Cochin,DEL → CCU → BOM → COK,2,No info,13381,6,12,1380,20,15,19,15,13
19,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12898,5,27,1235,16,0,12,35,28
20,GoAir,Delhi,Cochin,DEL → BOM → COK,1,No info,19495,3,6,310,14,10,19,20,20
21,Air India,Banglore,New Delhi,BLR → COK → DEL,1,No info,6955,3,21,920,22,0,13,20,21
22,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,3943,4,3,170,4,0,6,50,20
23,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4823,5,1,175,18,55,21,50,20
24,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1,In-flight meal not included,7757,5,6,800,18,55,8,15,7
25,Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2,No info,13292,6,9,910,21,25,12,35,10
26,IndiGo,Delhi,Cochin,DEL → LKO → COK,1,No info,8238,6,1,345,21,50,3,35,2
27,GoAir,Delhi,Cochin,DEL → BOM → COK,1,No info,7682,5,15,355,7,0,12,55,20
28,Vistara,Banglore,Delhi,BLR → DEL,0,No info,4668,6,18,170,9,45,12,35,20
29,Vistara,Chennai,Kolkata,MAA → CCU,0,No info,3687,6,15,135,7,5,9,20,20
30,Vistara,Chennai,Kolkata,MAA → CCU,0,No info,3687,6,18,135,7,5,9,20,20
31,Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,2,No info,13227,5,1,805,9,50,23,15,20
32,IndiGo,Banglore,Delhi,BLR → DEL,0,No info,4423,4,6,170,4,0,6,50,20
33,Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,2,In-flight meal not included,10919,6,15,1320,14,35,12,35,16
34,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,In-flight meal not included,12373,5,18,330,7,5,12,35,20
37,Air India,Kolkata,Banglore,CCU → BLR,0,No info,6245,5,18,150,14,15,16,45,20
38,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1,No info,19225,3,6,375,7,0,13,15,20
39,Jet Airways,Delhi,Cochin,DEL → BOM → COK,1,No info,14924,6,3,715,7,5,19,0,20
41,Air India,Banglore,New Delhi,BLR → BOM → DEL,1,No info,8714,3,15,510,6,45,15,15,20
